,,6Base_2 Avg:,-0.0333,-0.0329,-0.0203,BASELINE SUBTRACTED,,
Date & Time,Date,Time,PDIT705,PDIT706,PDIT707,PDIT705,PDIT706,PDIT707
12/14/2018 6:49:26.12,12/14/18,06:49:26:12,-0.04452,-0.10504,0.067773,,,
12/14/2018 6:49:26.32,12/14/18,06:49:26:32,-0.04557,-0.10504,0.067813,,,
12/14/2018 6:49:26.53,12/14/18,06:49:26:53,-0.04452,-0.10504,0.067773,,,
12/14/2018 6:49:26.81,12/14/18,06:49:26:81,-0.045421,-0.10504,0.067773,,,
12/14/2018 6:49:26.90,12/14/18,06:49:26:90,-0.04527,-0.10504,0.067813,,,
12/14/2018 6:49:27.09,12/14/18,06:49:27:09,-0.04467,-0.10504,0.067773,,,
12/14/2018 6:49:27.29,12/14/18,06:49:27:29,-0.04497,-0.10504,0.067773,,,
12/14/2018 6:49:27.40,12/14/18,06:49:27:40,-0.04467,-0.10504,0.067773,,,
12/14/2018 6:49:27.59,12/14/18,06:49:27:59,-0.04452,-0.10504,0.067773,,,
12/14/2018 6:49:27.87,12/14/18,06:49:27:87,-0.045121,-0.10504,0.067773,,,
12/14/2018 6:49:27.96,12/14/18,06:49:27:96,-0.04407,-0.10508,0.067773,,,
12/14/2018 6:49:28.15,12/14/18,06:49:28:15,-0.04497,-0.10504,0.067813,,,
12/14/2018 6:49:28.38,12/14/18,06:49:28:38,-0.04467,-0.10504,0.067773,,,
12/14/2018 6:49:28.46,12/14/18,06:49:28:46,-0.04437,-0.10504,0.067773,,,
12/14/2018 6:49:28.55,12/14/18,06:49:28:55,-0.04467,-0.10504,0.067773,,,
12/14/2018 6:49:28.76,12/14/18,06:49:28:76,-0.04407,-0.10504,0.067733,,,
12/14/2018 6:49:29.04,12/14/18,06:49:29:04,-0.046021,-0.105,0.067813,,,
12/14/2018 6:49:29.13,12/14/18,06:49:29:13,-0.04452,-0.105,0.067773,,,
12/14/2018 6:49:29.32,12/14/18,06:49:29:32,-0.04437,-0.10504,0.067733,,,
12/14/2018 6:49:29.52,12/14/18,06:49:29:52,-0.04497,-0.10504,0.067773,,,
12/14/2018 6:49:29.71,12/14/18,06:49:29:71,-0.04422,-0.105,0.067773,,,
12/14/2018 6:49:29.90,12/14/18,06:49:29:90,-0.04497,-0.105,0.067773,,,
12/14/2018 6:49:30.19,12/14/18,06:49:30:19,-0.04587,-0.10504,0.067813,,,
12/14/2018 6:49:30.29,12/14/18,06:49:30:29,-0.04527,-0.10504,0.067813,,,
12/14/2018 6:49:30.47,12/14/18,06:49:30:47,-0.04407,-0.105,0.067773,,,
12/14/2018 6:49:30.68,12/14/18,06:49:30:68,-0.04527,-0.10504,0.067773,,,
12/14/2018 6:49:30.86,12/14/18,06:49:30:86,-0.04452,-0.10504,0.067773,,,
12/14/2018 6:49:31.05,12/14/18,06:49:31:05,-0.04527,-0.10504,0.067813,,,
12/14/2018 6:49:31.33,12/14/18,06:49:31:33,-0.04497,-0.10504,0.067773,,,
