,,7Base Avg:,-0.0476,-0.0240,-0.0238,BASELINE SUBTRACTED,,
12/17/2018 8:39:29.15,12/17/18,08:39:29:15,-0.047822,-0.02404,-0.023672,,,
12/17/2018 8:39:29.26,12/17/18,08:39:29:26,-0.047671,-0.02404,-0.023632,,,
12/17/2018 8:39:29.56,12/17/18,08:39:29:56,-0.047522,-0.02404,-0.023672,,,
12/17/2018 8:39:29.65,12/17/18,08:39:29:65,-0.047522,-0.02404,-0.023672,,,
12/17/2018 8:39:29.86,12/17/18,08:39:29:86,-0.047371,-0.02404,-0.023672,,,
12/17/2018 8:39:30.04,12/17/18,08:39:30:04,-0.047522,-0.02404,-0.023672,,,
12/17/2018 8:39:30.25,12/17/18,08:39:30:25,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:30.36,12/17/18,08:39:30:36,-0.047822,-0.02404,-0.023672,,,
12/17/2018 8:39:30.46,12/17/18,08:39:30:46,-0.047822,-0.02404,-0.023672,,,
12/17/2018 8:39:30.76,12/17/18,08:39:30:76,-0.047671,-0.02404,-0.023672,,,
12/17/2018 8:39:30.84,12/17/18,08:39:30:84,-0.047671,-0.02408,-0.023672,,,
12/17/2018 8:39:30.93,12/17/18,08:39:30:93,-0.047522,-0.02404,-0.023672,,,
12/17/2018 8:39:31.06,12/17/18,08:39:31:06,-0.047371,-0.02408,-0.023672,,,
12/17/2018 8:39:31.28,12/17/18,08:39:31:28,-0.047522,-0.02408,-0.023672,,,
12/17/2018 8:39:31.46,12/17/18,08:39:31:46,-0.047671,-0.02404,-0.023672,,,
12/17/2018 8:39:31.65,12/17/18,08:39:31:65,-0.047671,-0.02408,-0.023713,,,
12/17/2018 8:39:31.93,12/17/18,08:39:31:93,-0.047822,-0.02404,-0.023672,,,
12/17/2018 8:39:32.02,12/17/18,08:39:32:02,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:32.24,12/17/18,08:39:32:24,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:39:32.35,12/17/18,08:39:32:35,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:39:32.45,12/17/18,08:39:32:45,-0.047971,-0.02408,-0.023713,,,
12/17/2018 8:39:32.65,12/17/18,08:39:32:65,-0.048122,-0.02404,-0.023713,,,
12/17/2018 8:39:32.76,12/17/18,08:39:32:76,-0.048122,-0.02404,-0.023672,,,
12/17/2018 8:39:33.04,12/17/18,08:39:33:04,-0.048272,-0.02404,-0.023672,,,
12/17/2018 8:39:33.13,12/17/18,08:39:33:13,-0.048272,-0.02408,-0.023672,,,
12/17/2018 8:39:33.23,12/17/18,08:39:33:23,-0.048272,-0.02404,-0.023713,,,
12/17/2018 8:39:33.44,12/17/18,08:39:33:44,-0.047971,-0.02404,-0.023713,,,
12/17/2018 8:39:33.63,12/17/18,08:39:33:63,-0.048122,-0.02404,-0.023672,,,
12/17/2018 8:39:33.82,12/17/18,08:39:33:82,-0.047971,-0.02404,-0.023672,,,
12/17/2018 8:39:33.91,12/17/18,08:39:33:91,-0.047971,-0.02404,-0.023672,,,
12/17/2018 8:39:34.12,12/17/18,08:39:34:12,-0.047971,-0.02404,-0.023672,,,
12/17/2018 8:39:34.21,12/17/18,08:39:34:21,-0.047971,-0.02404,-0.023713,,,
12/17/2018 8:39:34.41,12/17/18,08:39:34:41,-0.047822,-0.02408,-0.023672,,,
12/17/2018 8:39:34.61,12/17/18,08:39:34:61,-0.047822,-0.02404,-0.023672,,,
12/17/2018 8:39:34.74,12/17/18,08:39:34:74,-0.047522,-0.02404,-0.023672,,,
12/17/2018 8:39:34.85,12/17/18,08:39:34:85,-0.047522,-0.02404,-0.023672,,,
12/17/2018 8:39:35.14,12/17/18,08:39:35:14,-0.047522,-0.02404,-0.023672,,,
12/17/2018 8:39:35.24,12/17/18,08:39:35:24,-0.047371,-0.02404,-0.023672,,,
12/17/2018 8:39:35.43,12/17/18,08:39:35:43,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:35.53,12/17/18,08:39:35:53,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:35.75,12/17/18,08:39:35:75,-0.047822,-0.02408,-0.023672,,,
12/17/2018 8:39:35.94,12/17/18,08:39:35:94,-0.047971,-0.02404,-0.023672,,,
12/17/2018 8:39:36.22,12/17/18,08:39:36:22,-0.048122,-0.02404,-0.023672,,,
12/17/2018 8:39:36.31,12/17/18,08:39:36:31,-0.047971,-0.02408,-0.023672,,,
12/17/2018 8:39:36.52,12/17/18,08:39:36:52,-0.047971,-0.02408,-0.023672,,,
12/17/2018 8:39:36.70,12/17/18,08:39:36:70,-0.047822,-0.02404,-0.023672,,,
12/17/2018 8:39:36.91,12/17/18,08:39:36:91,-0.047522,-0.02404,-0.023672,,,
12/17/2018 8:39:37.02,12/17/18,08:39:37:02,-0.047522,-0.02404,-0.023672,,,
12/17/2018 8:39:37.30,12/17/18,08:39:37:30,-0.047971,-0.02408,-0.023632,,,
12/17/2018 8:39:37.39,12/17/18,08:39:37:39,-0.047971,-0.02404,-0.023632,,,
12/17/2018 8:39:37.58,12/17/18,08:39:37:58,-0.048272,-0.02408,-0.023632,,,
12/17/2018 8:39:37.77,12/17/18,08:39:37:77,-0.048422,-0.02404,-0.023632,,,
12/17/2018 8:39:37.86,12/17/18,08:39:37:86,-0.048572,-0.02404,-0.023632,,,
12/17/2018 8:39:37.98,12/17/18,08:39:37:98,-0.048422,-0.02408,-0.023592,,,
12/17/2018 8:39:38.19,12/17/18,08:39:38:19,-0.048122,-0.02404,-0.023592,,,
12/17/2018 8:39:38.28,12/17/18,08:39:38:28,-0.048122,-0.02404,-0.023592,,,
12/17/2018 8:39:38.48,12/17/18,08:39:38:48,-0.047822,-0.02404,-0.023592,,,
12/17/2018 8:39:38.58,12/17/18,08:39:38:58,-0.047671,-0.02404,-0.023632,,,
12/17/2018 8:39:38.69,12/17/18,08:39:38:69,-0.047522,-0.02404,-0.023632,,,
12/17/2018 8:39:38.87,12/17/18,08:39:38:87,-0.047371,-0.02404,-0.023632,,,
12/17/2018 8:39:39.00,12/17/18,08:39:39:00,-0.047371,-0.02404,-0.023632,,,
12/17/2018 8:39:39.19,12/17/18,08:39:39:19,-0.047522,-0.02404,-0.023632,,,
12/17/2018 8:39:39.37,12/17/18,08:39:39:37,-0.047371,-0.02404,-0.023672,,,
12/17/2018 8:39:39.58,12/17/18,08:39:39:58,-0.047671,-0.02404,-0.023632,,,
12/17/2018 8:39:39.67,12/17/18,08:39:39:67,-0.047671,-0.02404,-0.023672,,,
12/17/2018 8:39:39.87,12/17/18,08:39:39:87,-0.047371,-0.02404,-0.023672,,,
12/17/2018 8:39:39.98,12/17/18,08:39:39:98,-0.047371,-0.02404,-0.023672,,,
12/17/2018 8:39:40.20,12/17/18,08:39:40:20,-0.047671,-0.02404,-0.023672,,,
12/17/2018 8:39:40.39,12/17/18,08:39:40:39,-0.047371,-0.02404,-0.023672,,,
12/17/2018 8:39:40.67,12/17/18,08:39:40:67,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:40.76,12/17/18,08:39:40:76,-0.047522,-0.02404,-0.023672,,,
12/17/2018 8:39:40.96,12/17/18,08:39:40:96,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:39:41.15,12/17/18,08:39:41:15,-0.047971,-0.02404,-0.023713,,,
12/17/2018 8:39:41.24,12/17/18,08:39:41:24,-0.047971,-0.02404,-0.023713,,,
12/17/2018 8:39:41.46,12/17/18,08:39:41:46,-0.048122,-0.02404,-0.023672,,,
12/17/2018 8:39:41.76,12/17/18,08:39:41:76,-0.048122,-0.02404,-0.023672,,,
12/17/2018 8:39:41.84,12/17/18,08:39:41:84,-0.048122,-0.02404,-0.023672,,,
12/17/2018 8:39:41.93,12/17/18,08:39:41:93,-0.048272,-0.02404,-0.023672,,,
12/17/2018 8:39:42.04,12/17/18,08:39:42:04,-0.048272,-0.02404,-0.023632,,,
12/17/2018 8:39:42.26,12/17/18,08:39:42:26,-0.047822,-0.02408,-0.023672,,,
12/17/2018 8:39:42.45,12/17/18,08:39:42:45,-0.047522,-0.02404,-0.023672,,,
12/17/2018 8:39:42.65,12/17/18,08:39:42:65,-0.047221,-0.02408,-0.023672,,,
12/17/2018 8:39:42.87,12/17/18,08:39:42:87,-0.047221,-0.02404,-0.023672,,,
12/17/2018 8:39:42.96,12/17/18,08:39:42:96,-0.047221,-0.02404,-0.023713,,,
12/17/2018 8:39:43.15,12/17/18,08:39:43:15,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:43.33,12/17/18,08:39:43:33,-0.047522,-0.024,-0.023713,,,
12/17/2018 8:39:43.52,12/17/18,08:39:43:52,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:43.63,12/17/18,08:39:43:63,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:43.93,12/17/18,08:39:43:93,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:39:44.02,12/17/18,08:39:44:02,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:44.21,12/17/18,08:39:44:21,-0.048122,-0.024,-0.023713,,,
12/17/2018 8:39:44.40,12/17/18,08:39:44:40,-0.048272,-0.02404,-0.023713,,,
12/17/2018 8:39:44.58,12/17/18,08:39:44:58,-0.048422,-0.024,-0.023672,,,
12/17/2018 8:39:44.77,12/17/18,08:39:44:77,-0.048422,-0.02404,-0.023713,,,
12/17/2018 8:39:45.00,12/17/18,08:39:45:00,-0.048272,-0.02404,-0.023672,,,
12/17/2018 8:39:45.08,12/17/18,08:39:45:08,-0.048122,-0.02404,-0.023672,,,
12/17/2018 8:39:45.18,12/17/18,08:39:45:18,-0.047971,-0.02404,-0.023713,,,
12/17/2018 8:39:45.38,12/17/18,08:39:45:38,-0.047822,-0.02404,-0.023672,,,
12/17/2018 8:39:45.58,12/17/18,08:39:45:58,-0.047671,-0.02404,-0.023672,,,
12/17/2018 8:39:45.77,12/17/18,08:39:45:77,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:46.06,12/17/18,08:39:46:06,-0.047371,-0.02404,-0.023713,,,
12/17/2018 8:39:46.16,12/17/18,08:39:46:16,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:46.35,12/17/18,08:39:46:35,-0.047522,-0.02404,-0.023672,,,
12/17/2018 8:39:46.55,12/17/18,08:39:46:55,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:46.66,12/17/18,08:39:46:66,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:46.78,12/17/18,08:39:46:78,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:47.00,12/17/18,08:39:47:00,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:47.19,12/17/18,08:39:47:19,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:47.38,12/17/18,08:39:47:38,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:47.48,12/17/18,08:39:47:48,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:47.67,12/17/18,08:39:47:67,-0.047971,-0.02408,-0.023672,,,
12/17/2018 8:39:47.86,12/17/18,08:39:47:86,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:48.16,12/17/18,08:39:48:16,-0.047671,-0.02404,-0.023672,,,
12/17/2018 8:39:48.25,12/17/18,08:39:48:25,-0.047822,-0.02408,-0.023713,,,
12/17/2018 8:39:48.44,12/17/18,08:39:48:44,-0.047822,-0.02404,-0.023672,,,
12/17/2018 8:39:48.64,12/17/18,08:39:48:64,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:39:48.84,12/17/18,08:39:48:84,-0.047971,-0.02404,-0.023672,,,
12/17/2018 8:39:48.95,12/17/18,08:39:48:95,-0.047971,-0.02404,-0.023672,,,
12/17/2018 8:39:49.25,12/17/18,08:39:49:25,-0.048122,-0.02404,-0.023672,,,
12/17/2018 8:39:49.34,12/17/18,08:39:49:34,-0.048122,-0.02404,-0.023672,,,
12/17/2018 8:39:49.53,12/17/18,08:39:49:53,-0.048122,-0.024,-0.023672,,,
12/17/2018 8:39:49.73,12/17/18,08:39:49:73,-0.047971,-0.02404,-0.023672,,,
12/17/2018 8:39:49.84,12/17/18,08:39:49:84,-0.047822,-0.02404,-0.023672,,,
12/17/2018 8:39:50.04,12/17/18,08:39:50:04,-0.048122,-0.024,-0.023672,,,
12/17/2018 8:39:50.34,12/17/18,08:39:50:34,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:39:50.43,12/17/18,08:39:50:43,-0.047822,-0.02404,-0.023672,,,
12/17/2018 8:39:50.62,12/17/18,08:39:50:62,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:50.84,12/17/18,08:39:50:84,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:39:51.03,12/17/18,08:39:51:03,-0.047822,-0.02408,-0.023672,,,
12/17/2018 8:39:51.21,12/17/18,08:39:51:21,-0.047971,-0.02404,-0.023632,,,
12/17/2018 8:39:51.52,12/17/18,08:39:51:52,-0.047671,-0.02404,-0.023672,,,
12/17/2018 8:39:51.60,12/17/18,08:39:51:60,-0.047522,-0.02404,-0.023672,,,
12/17/2018 8:39:51.70,12/17/18,08:39:51:70,-0.047522,-0.02404,-0.023672,,,
12/17/2018 8:39:51.91,12/17/18,08:39:51:91,-0.047071,-0.02408,-0.023672,,,
12/17/2018 8:39:52.10,12/17/18,08:39:52:10,-0.046921,-0.02408,-0.023672,,,
12/17/2018 8:39:52.21,12/17/18,08:39:52:21,-0.046921,-0.02408,-0.023672,,,
12/17/2018 8:39:52.52,12/17/18,08:39:52:52,-0.047221,-0.02408,-0.023713,,,
12/17/2018 8:39:52.62,12/17/18,08:39:52:62,-0.047371,-0.02408,-0.023713,,,
12/17/2018 8:39:52.80,12/17/18,08:39:52:80,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:53.01,12/17/18,08:39:53:01,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:53.19,12/17/18,08:39:53:19,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:53.30,12/17/18,08:39:53:30,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:53.60,12/17/18,08:39:53:60,-0.047522,-0.02404,-0.023753,,,
12/17/2018 8:39:53.69,12/17/18,08:39:53:69,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:53.88,12/17/18,08:39:53:88,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:39:54.10,12/17/18,08:39:54:10,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:54.21,12/17/18,08:39:54:21,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:54.32,12/17/18,08:39:54:32,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:54.44,12/17/18,08:39:54:44,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:54.66,12/17/18,08:39:54:66,-0.047522,-0.02404,-0.023753,,,
12/17/2018 8:39:54.75,12/17/18,08:39:54:75,-0.047371,-0.02404,-0.023753,,,
12/17/2018 8:39:54.96,12/17/18,08:39:54:96,-0.047371,-0.02404,-0.023753,,,
12/17/2018 8:39:55.14,12/17/18,08:39:55:14,-0.047371,-0.02404,-0.023753,,,
12/17/2018 8:39:55.33,12/17/18,08:39:55:33,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:55.52,12/17/18,08:39:55:52,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:39:55.83,12/17/18,08:39:55:83,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:39:55.92,12/17/18,08:39:55:92,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:39:56.11,12/17/18,08:39:56:11,-0.047971,-0.024,-0.023713,,,
12/17/2018 8:39:56.33,12/17/18,08:39:56:33,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:39:56.44,12/17/18,08:39:56:44,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:39:56.63,12/17/18,08:39:56:63,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:56.84,12/17/18,08:39:56:84,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:56.94,12/17/18,08:39:56:94,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:39:57.14,12/17/18,08:39:57:14,-0.047522,-0.02404,-0.023753,,,
12/17/2018 8:39:57.33,12/17/18,08:39:57:33,-0.047221,-0.02404,-0.023753,,,
12/17/2018 8:39:57.44,12/17/18,08:39:57:44,-0.047221,-0.02404,-0.023753,,,
12/17/2018 8:39:57.55,12/17/18,08:39:57:55,-0.047221,-0.02404,-0.023753,,,
12/17/2018 8:39:57.73,12/17/18,08:39:57:73,-0.047371,-0.02404,-0.023753,,,
12/17/2018 8:39:57.95,12/17/18,08:39:57:95,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:39:58.05,12/17/18,08:39:58:05,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:39:58.25,12/17/18,08:39:58:25,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:39:58.45,12/17/18,08:39:58:45,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:39:58.64,12/17/18,08:39:58:64,-0.047671,-0.02408,-0.023753,,,
12/17/2018 8:39:58.83,12/17/18,08:39:58:83,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:39:59.04,12/17/18,08:39:59:04,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:39:59.14,12/17/18,08:39:59:14,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:39:59.32,12/17/18,08:39:59:32,-0.047671,-0.02408,-0.023713,,,
12/17/2018 8:39:59.43,12/17/18,08:39:59:43,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:39:59.64,12/17/18,08:39:59:64,-0.047371,-0.02404,-0.023753,,,
12/17/2018 8:39:59.76,12/17/18,08:39:59:76,-0.047522,-0.02404,-0.023753,,,
12/17/2018 8:40:00.06,12/17/18,08:40:00:06,-0.047522,-0.02404,-0.023753,,,
12/17/2018 8:40:00.15,12/17/18,08:40:00:15,-0.047522,-0.02404,-0.023753,,,
12/17/2018 8:40:00.34,12/17/18,08:40:00:34,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:40:00.53,12/17/18,08:40:00:53,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:40:00.71,12/17/18,08:40:00:71,-0.048122,-0.02404,-0.023713,,,
12/17/2018 8:40:00.90,12/17/18,08:40:00:90,-0.047971,-0.02404,-0.023713,,,
12/17/2018 8:40:01.20,12/17/18,08:40:01:20,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:40:01.29,12/17/18,08:40:01:29,-0.047522,-0.02404,-0.023753,,,
12/17/2018 8:40:01.48,12/17/18,08:40:01:48,-0.047221,-0.02404,-0.023753,,,
12/17/2018 8:40:01.66,12/17/18,08:40:01:66,-0.047371,-0.02404,-0.023753,,,
12/17/2018 8:40:01.85,12/17/18,08:40:01:85,-0.047371,-0.02404,-0.023753,,,
12/17/2018 8:40:01.96,12/17/18,08:40:01:96,-0.047371,-0.02404,-0.023753,,,
12/17/2018 8:40:02.29,12/17/18,08:40:02:29,-0.047671,-0.02408,-0.023713,,,
12/17/2018 8:40:02.37,12/17/18,08:40:02:37,-0.047671,-0.02408,-0.023753,,,
12/17/2018 8:40:02.46,12/17/18,08:40:02:46,-0.047371,-0.02408,-0.023753,,,
12/17/2018 8:40:02.68,12/17/18,08:40:02:68,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:40:02.87,12/17/18,08:40:02:87,-0.047822,-0.02408,-0.023753,,,
12/17/2018 8:40:02.98,12/17/18,08:40:02:98,-0.047822,-0.02408,-0.023753,,,
12/17/2018 8:40:03.16,12/17/18,08:40:03:16,-0.047671,-0.02408,-0.023713,,,
12/17/2018 8:40:03.46,12/17/18,08:40:03:46,-0.047822,-0.02408,-0.023753,,,
12/17/2018 8:40:03.55,12/17/18,08:40:03:55,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:40:03.74,12/17/18,08:40:03:74,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:40:03.93,12/17/18,08:40:03:93,-0.047971,-0.02404,-0.023753,,,
12/17/2018 8:40:04.15,12/17/18,08:40:04:15,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:40:04.33,12/17/18,08:40:04:33,-0.047522,-0.02404,-0.023713,,,
12/17/2018 8:40:04.63,12/17/18,08:40:04:63,-0.047371,-0.02404,-0.023713,,,
12/17/2018 8:40:04.72,12/17/18,08:40:04:72,-0.047371,-0.02404,-0.023713,,,
12/17/2018 8:40:04.91,12/17/18,08:40:04:91,-0.047371,-0.02404,-0.023713,,,
12/17/2018 8:40:05.10,12/17/18,08:40:05:10,-0.047371,-0.02404,-0.023753,,,
12/17/2018 8:40:05.21,12/17/18,08:40:05:21,-0.047371,-0.02404,-0.023753,,,
12/17/2018 8:40:05.39,12/17/18,08:40:05:39,-0.047371,-0.02404,-0.023753,,,
12/17/2018 8:40:05.69,12/17/18,08:40:05:69,-0.047971,-0.024,-0.023753,,,
12/17/2018 8:40:05.78,12/17/18,08:40:05:78,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:40:05.97,12/17/18,08:40:05:97,-0.047822,-0.02404,-0.023713,,,
12/17/2018 8:40:06.17,12/17/18,08:40:06:17,-0.047971,-0.02404,-0.023713,,,
12/17/2018 8:40:06.36,12/17/18,08:40:06:36,-0.047671,-0.02404,-0.023713,,,
12/17/2018 8:40:06.55,12/17/18,08:40:06:55,-0.047671,-0.024,-0.023713,,,
12/17/2018 8:40:06.86,12/17/18,08:40:06:86,-0.047522,-0.02404,-0.023793,,,
12/17/2018 8:40:06.95,12/17/18,08:40:06:95,-0.047371,-0.02404,-0.023793,,,
12/17/2018 8:40:07.14,12/17/18,08:40:07:14,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:40:07.25,12/17/18,08:40:07:25,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:40:07.45,12/17/18,08:40:07:45,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:40:07.66,12/17/18,08:40:07:66,-0.047522,-0.02404,-0.023793,,,
12/17/2018 8:40:07.95,12/17/18,08:40:07:95,-0.047522,-0.02404,-0.023753,,,
12/17/2018 8:40:08.05,12/17/18,08:40:08:05,-0.047522,-0.02404,-0.023753,,,
12/17/2018 8:40:08.23,12/17/18,08:40:08:23,-0.047522,-0.02404,-0.023793,,,
12/17/2018 8:40:08.42,12/17/18,08:40:08:42,-0.047522,-0.02404,-0.023793,,,
12/17/2018 8:40:08.61,12/17/18,08:40:08:61,-0.047522,-0.02404,-0.023793,,,
12/17/2018 8:40:08.72,12/17/18,08:40:08:72,-0.047671,-0.02404,-0.023793,,,
12/17/2018 8:40:09.03,12/17/18,08:40:09:03,-0.047971,-0.02404,-0.023753,,,
12/17/2018 8:40:09.11,12/17/18,08:40:09:11,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:40:09.20,12/17/18,08:40:09:20,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:40:09.40,12/17/18,08:40:09:40,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:40:09.59,12/17/18,08:40:09:59,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:40:09.78,12/17/18,08:40:09:78,-0.047671,-0.02408,-0.023753,,,
12/17/2018 8:40:10.07,12/17/18,08:40:10:07,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:40:10.17,12/17/18,08:40:10:17,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:40:10.28,12/17/18,08:40:10:28,-0.047671,-0.02408,-0.023753,,,
12/17/2018 8:40:10.48,12/17/18,08:40:10:48,-0.047522,-0.02404,-0.023753,,,
12/17/2018 8:40:10.68,12/17/18,08:40:10:68,-0.047522,-0.02404,-0.023753,,,
12/17/2018 8:40:10.79,12/17/18,08:40:10:79,-0.047522,-0.02404,-0.023753,,,
12/17/2018 8:40:11.09,12/17/18,08:40:11:09,-0.047371,-0.02408,-0.023753,,,
12/17/2018 8:40:11.18,12/17/18,08:40:11:18,-0.047522,-0.02404,-0.023753,,,
12/17/2018 8:40:11.29,12/17/18,08:40:11:29,-0.047522,-0.02404,-0.023793,,,
12/17/2018 8:40:11.48,12/17/18,08:40:11:48,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:40:11.68,12/17/18,08:40:11:68,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:40:11.79,12/17/18,08:40:11:79,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:40:11.90,12/17/18,08:40:11:90,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:40:12.12,12/17/18,08:40:12:12,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:40:12.21,12/17/18,08:40:12:21,-0.047671,-0.02408,-0.023753,,,
12/17/2018 8:40:12.41,12/17/18,08:40:12:41,-0.047822,-0.02404,-0.023753,,,
12/17/2018 8:40:12.63,12/17/18,08:40:12:63,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:40:12.82,12/17/18,08:40:12:82,-0.047671,-0.02404,-0.023753,,,
12/17/2018 8:40:12.93,12/17/18,08:40:12:93,-0.047671,-0.02408,-0.023753,,,
12/17/2018 8:40:13.15,12/17/18,08:40:13:15,-0.047371,-0.02408,-0.023753,,,
